Date,Other,Securities lending,Commercial paper,Domestic money market funds,Repurchase agreements,Uninsured deposits
2019 Q1,69.49844294,64.38659204,60.55050602,55.54355909,40.78386046,22.59407836
2019 Q2,69.39192708,64.32835163,61.27844417,56.24239465,41.23566411,22.6950581
2019 Q3,71.67774209,66.58014811,63.68791954,58.78452955,42.79570883,23.159864
2019 Q4,71.62087426,66.44476111,63.77998724,58.99557025,42.39046681,23.7245874
2020 Q1,79.20712913,73.81003918,71.07404163,66.04921834,46.44829134,27.08898872
2020 Q2,89.60819606,83.25105894,79.94531516,74.85223722,51.00391437,31.53452877
2020 Q3,82.10395378,76.26717547,73.44596061,68.99692058,48.38161901,30.2769978
2020 Q4,82.54880925,76.92768132,73.99232718,69.72836241,49.9401604,31.53414093
2021 Q1,82.26548248,76.76886898,73.69423145,68.72071026,48.56793525,32.02697286
2021 Q2,80.45450968,75.04962037,71.81057782,67.08115931,47.41851738,31.98046474
2021 Q3,80.3823401,75.27466394,71.95098653,67.38213379,48.07058415,32.76504688
2021 Q4,80.12221926,75.03663474,71.89697322,67.42305408,48.09933742,33.07752835
2022 Q1,78.53471795,73.63033297,70.39785737,65.79162497,47.23533569,32.75842585
2022 Q2,75.60161758,70.63609493,67.46865631,63.14641939,45.20073442,31.23833345
2022 Q3,74.37961779,69.49435622,66.37811504,62.12574135,44.47012455,30.73340726
